sentence1,sentence2,similarity
Where can I buy maternity clothes?,"Supports families by providing shelter, meals, and support services to homeless families. They provide a safe environment in which families can stay together and become self-sufficient.",0
I need a custom home for my disabled child.,"Habitat works toward our vision by building strength, stability and self-reliance in partnership with families in need of decent and affordable housing. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage",1
Where can I find an affordable house?,"Habitat works toward our vision by building strength, stability and self-reliance in partnership with families in need of decent and affordable housing. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage",0.9
I got kicked out of my apartment and I feel like I've lost ownership of my life.,"Habitat works toward our vision by building strength, stability and self-reliance in partnership with families in need of decent and affordable housing. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage",0.7
I need to rent a house for a few months.,"Habitat works toward our vision by building strength, stability and self-reliance in partnership with families in need of decent and affordable housing. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage",0.4
I need repairs on my house.,"Habitat works toward our vision by building strength, stability and self-reliance in partnership with families in need of decent and affordable housing. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage",0.4
My car broke down. What do I do?,"Habitat works toward our vision by building strength, stability and self-reliance in partnership with families in need of decent and affordable housing. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage",0.1
Where can I find prenatal care?,"Habitat works toward our vision by building strength, stability and self-reliance in partnership with families in need of decent and affordable housing. Habitat homeowners help build their own homes alongside volunteers and pay an affordable mortgage",0
I was recently sexually assaulted and need help,"They provide services to individuals who have been involved with any kind of sexual violence. Services include crisis Intervention, counseling Services, education, Outreach services & resources",0.95
My partner raped me and I'm not sure what to do,"They provide services to individuals who have been involved with any kind of sexual violence. Services include crisis Intervention, counseling Services, education, Outreach services & resources",0.9
I think I was taken advantage of while drunk,"They provide services to individuals who have been involved with any kind of sexual violence. Services include crisis Intervention, counseling Services, education, Outreach services & resources",0.7
I was touched inappropriately and need advice,"They provide services to individuals who have been involved with any kind of sexual violence. Services include crisis Intervention, counseling Services, education, Outreach services & resources",0.8
My arm really hurts,"They provide services to individuals who have been involved with any kind of sexual violence. Services include crisis Intervention, counseling Services, education, Outreach services & resources",0.2
Chinese food is so good,"They provide services to individuals who have been involved with any kind of sexual violence. Services include crisis Intervention, counseling Services, education, Outreach services & resources",0.1
I really need counseling,"They provide services to individuals who have been involved with any kind of sexual violence. Services include crisis Intervention, counseling Services, education, Outreach services & resources",0.5
Is there a resource for professional women?,"Advocates by educating campus and community constituencies on women’s issues and functions as a resource and referral center. Strives to ensure a community in which women and men can live and work together in a mutually respectful, safe, and supportive environment where equality, responsibility, and personal empowerment are encouraged and fostered.",0.95
I think I am pregnant,"Advocates by educating campus and community constituencies on women’s issues and functions as a resource and referral center. Strives to ensure a community in which women and men can live and work together in a mutually respectful, safe, and supportive environment where equality, responsibility, and personal empowerment are encouraged and fostered.",0.6
Need career advice from a fellow woman,"Advocates by educating campus and community constituencies on women’s issues and functions as a resource and referral center. Strives to ensure a community in which women and men can live and work together in a mutually respectful, safe, and supportive environment where equality, responsibility, and personal empowerment are encouraged and fostered.",0.9
I'm thinking about becoming a mother,"Advocates by educating campus and community constituencies on women’s issues and functions as a resource and referral center. Strives to ensure a community in which women and men can live and work together in a mutually respectful, safe, and supportive environment where equality, responsibility, and personal empowerment are encouraged and fostered.",0.5
I have a lot of anxiety,"Advocates by educating campus and community constituencies on women’s issues and functions as a resource and referral center. Strives to ensure a community in which women and men can live and work together in a mutually respectful, safe, and supportive environment where equality, responsibility, and personal empowerment are encouraged and fostered.",0.1
Help for men on campus,"Advocates by educating campus and community constituencies on women’s issues and functions as a resource and referral center. Strives to ensure a community in which women and men can live and work together in a mutually respectful, safe, and supportive environment where equality, responsibility, and personal empowerment are encouraged and fostered.",0.3
Are there any leadership programs near me?,"Advocates by educating campus and community constituencies on women’s issues and functions as a resource and referral center. Strives to ensure a community in which women and men can live and work together in a mutually respectful, safe, and supportive environment where equality, responsibility, and personal empowerment are encouraged and fostered.",0.6
My child needs therapy,"Psychological service training clinic. All providers are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",0.95
Affordable psychological services,"Psychological service training clinic. All providers are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",0.95
Trusted therapy near me,"Psychological service training clinic. All providers are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",0.8
Cognitive behavioral therapy for students,"Psychological service training clinic. All providers are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",0.75
I don't feel like myself anymore,"Psychological service training clinic. All providers are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",0.5
I have anxiety and depression,"Psychological service training clinic. All providers are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",0.6
Blue is my favorite color,"Psychological service training clinic. All providers are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",0.1
My dog is sick,"Psychological service training clinic. All providers are trained to provide a variety of psychological services while under the supervision of a Licensed Psychologist. We offer both therapy and assessment services for adults, adolescents, and children in English. Fees are established based on an affordable sliding-scale based on family income and size.",0.2
Elderly meal programs,"Food Services primary focus is to provide nutritional services to the elderly population. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",0.95
My grandparents can't afford to eat,"Food Services primary focus is to provide nutritional services to the elderly population. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",0.9
I'm hungry,"Food Services primary focus is to provide nutritional services to the elderly population. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",0.7
My family has no food,"Food Services primary focus is to provide nutritional services to the elderly population. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",0.75
Healthy meals for weight loss,"Food Services primary focus is to provide nutritional services to the elderly population. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",0.4
Organic meal prep delivery,"Food Services primary focus is to provide nutritional services to the elderly population. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",0.35
My favorite state is colorado,"Food Services primary focus is to provide nutritional services to the elderly population. These services are provided through four programs: Congregate Meals served at Senior Centers, Home Delivered Meals, and CBA Meals and Private Pay Meals for those who do not qualify for the other programs offered but want to insure they receive the daily nutrition they require.",0.1
Medical and dental services for students,"Seeks to provide evidence-based healthcare utilizing a patient-empowered team approach to achieve individual wellness for all community members. We do this through a comprehensive approach to your medical needs, including medical and dental services.",0.95
Comprehensive healthcare near me,"Seeks to provide evidence-based healthcare utilizing a patient-empowered team approach to achieve individual wellness for all community members. We do this through a comprehensive approach to your medical needs, including medical and dental services.",0.9
I have a bad toothache,"Seeks to provide evidence-based healthcare utilizing a patient-empowered team approach to achieve individual wellness for all community members. We do this through a comprehensive approach to your medical needs, including medical and dental services.",0.75
I'm sick and not getting better,"Seeks to provide evidence-based healthcare utilizing a patient-empowered team approach to achieve individual wellness for all community members. We do this through a comprehensive approach to your medical needs, including medical and dental services.",0.7
Therapy near me,"Seeks to provide evidence-based healthcare utilizing a patient-empowered team approach to achieve individual wellness for all community members. We do this through a comprehensive approach to your medical needs, including medical and dental services.",0.4
Food resource near me,"Seeks to provide evidence-based healthcare utilizing a patient-empowered team approach to achieve individual wellness for all community members. We do this through a comprehensive approach to your medical needs, including medical and dental services.",0.1
I hate typing,"Seeks to provide evidence-based healthcare utilizing a patient-empowered team approach to achieve individual wellness for all community members. We do this through a comprehensive approach to your medical needs, including medical and dental services.",0.05
Is there a home for the developmentally disabled in Bryan,"We are guided by a mission to enable people with intellectual and developmental disabilities to lead their unique lives with dignity, independence, and inclusion. Respect for an individual’s abilities is the foundation of our work. We provide intermediate, home and community-based care services in innovative and loving environments to thousands of individuals through our affiliates.",0.95
I need help taking care of my disabled brother,"We are guided by a mission to enable people with intellectual and developmental disabilities to lead their unique lives with dignity, independence, and inclusion. Respect for an individual’s abilities is the foundation of our work. We provide intermediate, home and community-based care services in innovative and loving environments to thousands of individuals through our affiliates.",0.9
Community-based care near me,"We are guided by a mission to enable people with intellectual and developmental disabilities to lead their unique lives with dignity, independence, and inclusion. Respect for an individual’s abilities is the foundation of our work. We provide intermediate, home and community-based care services in innovative and loving environments to thousands of individuals through our affiliates.",0.8
Medical services near me,"We are guided by a mission to enable people with intellectual and developmental disabilities to lead their unique lives with dignity, independence, and inclusion. Respect for an individual’s abilities is the foundation of our work. We provide intermediate, home and community-based care services in innovative and loving environments to thousands of individuals through our affiliates.",0.55
I need a live-in rehab facility,"We are guided by a mission to enable people with intellectual and developmental disabilities to lead their unique lives with dignity, independence, and inclusion. Respect for an individual’s abilities is the foundation of our work. We provide intermediate, home and community-based care services in innovative and loving environments to thousands of individuals through our affiliates.",0.5
I need a doctor,"We are guided by a mission to enable people with intellectual and developmental disabilities to lead their unique lives with dignity, independence, and inclusion. Respect for an individual’s abilities is the foundation of our work. We provide intermediate, home and community-based care services in innovative and loving environments to thousands of individuals through our affiliates.",0.4
My family is running out of money and has nowhere to go,"We are guided by a mission to enable people with intellectual and developmental disabilities to lead their unique lives with dignity, independence, and inclusion. Respect for an individual’s abilities is the foundation of our work. We provide intermediate, home and community-based care services in innovative and loving environments to thousands of individuals through our affiliates.",0.2
Are there emergency health services on campus?,"Campus-based EMS agency that responds to medical and traumatic emergencies on surrounding community. Offers its services to all students, faculty, staff, and visitors.",0.9
If I hurt myself at school where should I go?,"Campus-based EMS agency that responds to medical and traumatic emergencies on surrounding community. Offers its services to all students, faculty, staff, and visitors.",0.85
Are there medical services on campus?,"Campus-based EMS agency that responds to medical and traumatic emergencies on surrounding community. Offers its services to all students, faculty, staff, and visitors.",0.8
Does the university have a doctor?,"Campus-based EMS agency that responds to medical and traumatic emergencies on surrounding community. Offers its services to all students, faculty, staff, and visitors.",0.7
Food services on campus,"Campus-based EMS agency that responds to medical and traumatic emergencies on surrounding community. Offers its services to all students, faculty, staff, and visitors.",0.2
"I'm a student and think I have covid, where should I go?","Campus-based EMS agency that responds to medical and traumatic emergencies on surrounding community. Offers its services to all students, faculty, staff, and visitors.",0.3
The engineering building is my favorite part of campus!,"Campus-based EMS agency that responds to medical and traumatic emergencies on surrounding community. Offers its services to all students, faculty, staff, and visitors.",0.2
I'm feeling suicidal and need someone to talk to,"Cares about you and your mental health!. We offer workshops, groups, short-term goal-oriented individual counseling and referrals to community providers to address your mental health struggles. We house HelpLine and the Suicide Awareness & Prevention Office as well as offering wellness opportunities that include Diversity & Inclusion Programs, Suicide Awareness & Prevention trainings and Wellness/Prevention programs.",0.95
I've been depressed for a long time and don't know where to go,"Cares about you and your mental health!. We offer workshops, groups, short-term goal-oriented individual counseling and referrals to community providers to address your mental health struggles. We house HelpLine and the Suicide Awareness & Prevention Office as well as offering wellness opportunities that include Diversity & Inclusion Programs, Suicide Awareness & Prevention trainings and Wellness/Prevention programs.",0.85
I just want someone to talk to,"Cares about you and your mental health!. We offer workshops, groups, short-term goal-oriented individual counseling and referrals to community providers to address your mental health struggles. We house HelpLine and the Suicide Awareness & Prevention Office as well as offering wellness opportunities that include Diversity & Inclusion Programs, Suicide Awareness & Prevention trainings and Wellness/Prevention programs.",0.8
My mental health has been slipping lately,"Cares about you and your mental health!. We offer workshops, groups, short-term goal-oriented individual counseling and referrals to community providers to address your mental health struggles. We house HelpLine and the Suicide Awareness & Prevention Office as well as offering wellness opportunities that include Diversity & Inclusion Programs, Suicide Awareness & Prevention trainings and Wellness/Prevention programs.",0.75
Help hotline,"Cares about you and your mental health!. We offer workshops, groups, short-term goal-oriented individual counseling and referrals to community providers to address your mental health struggles. We house HelpLine and the Suicide Awareness & Prevention Office as well as offering wellness opportunities that include Diversity & Inclusion Programs, Suicide Awareness & Prevention trainings and Wellness/Prevention programs.",0.9
I've been feeling sick lately,"Cares about you and your mental health!. We offer workshops, groups, short-term goal-oriented individual counseling and referrals to community providers to address your mental health struggles. We house HelpLine and the Suicide Awareness & Prevention Office as well as offering wellness opportunities that include Diversity & Inclusion Programs, Suicide Awareness & Prevention trainings and Wellness/Prevention programs.",0.3
Are there any organizations for hungry students?,"Cares about you and your mental health!. We offer workshops, groups, short-term goal-oriented individual counseling and referrals to community providers to address your mental health struggles. We house HelpLine and the Suicide Awareness & Prevention Office as well as offering wellness opportunities that include Diversity & Inclusion Programs, Suicide Awareness & Prevention trainings and Wellness/Prevention programs.",0.2
I think pizza is my favorite food,"Cares about you and your mental health!. We offer workshops, groups, short-term goal-oriented individual counseling and referrals to community providers to address your mental health struggles. We house HelpLine and the Suicide Awareness & Prevention Office as well as offering wellness opportunities that include Diversity & Inclusion Programs, Suicide Awareness & Prevention trainings and Wellness/Prevention programs.",0.1
I need a doctor on campus,"Staffed by board certified physicians, nurse practitioners, physician assistants and a psychologist who provide medical care for short term, acute illnesses and injuries, as well as ongoing health problems. Staffed by a Registered Dietitian (RD) who provides students with a personalized approach to all their nutrition needs. Provides prescription and non-prescription medications for students",0.95
"I've been feeling tired and sluggish lately, and I'm not sure why","Staffed by board certified physicians, nurse practitioners, physician assistants and a psychologist who provide medical care for short term, acute illnesses and injuries, as well as ongoing health problems. Staffed by a Registered Dietitian (RD) who provides students with a personalized approach to all their nutrition needs. Provides prescription and non-prescription medications for students",0.8
Where can I fill my prescription on campus?,"Staffed by board certified physicians, nurse practitioners, physician assistants and a psychologist who provide medical care for short term, acute illnesses and injuries, as well as ongoing health problems. Staffed by a Registered Dietitian (RD) who provides students with a personalized approach to all their nutrition needs. Provides prescription and non-prescription medications for students",0.9
I'm having a medical emergency,"Staffed by board certified physicians, nurse practitioners, physician assistants and a psychologist who provide medical care for short term, acute illnesses and injuries, as well as ongoing health problems. Staffed by a Registered Dietitian (RD) who provides students with a personalized approach to all their nutrition needs. Provides prescription and non-prescription medications for students",0.7
I need to talk to a counselor about my mental health,"Staffed by board certified physicians, nurse practitioners, physician assistants and a psychologist who provide medical care for short term, acute illnesses and injuries, as well as ongoing health problems. Staffed by a Registered Dietitian (RD) who provides students with a personalized approach to all their nutrition needs. Provides prescription and non-prescription medications for students",0.75
I'm having pregnancy issues,"Staffed by board certified physicians, nurse practitioners, physician assistants and a psychologist who provide medical care for short term, acute illnesses and injuries, as well as ongoing health problems. Staffed by a Registered Dietitian (RD) who provides students with a personalized approach to all their nutrition needs. Provides prescription and non-prescription medications for students",0.7
Super mario is my favorite game,"Staffed by board certified physicians, nurse practitioners, physician assistants and a psychologist who provide medical care for short term, acute illnesses and injuries, as well as ongoing health problems. Staffed by a Registered Dietitian (RD) who provides students with a personalized approach to all their nutrition needs. Provides prescription and non-prescription medications for students",0.05
I just found out I'm pregnant and don't know what to do,"Provides medical care during pregnancy. Some basic services provided include physical examinations, distribution of prenatal vitamins, and laboratory work. Other services may also be available; however, other services are provided on an as needed basis to be determined by the nurse practitioners and physician staff who volunteer at the clinic. The clinic offers a comprehensive prenatal program that includes:Prenatal NutritionPhysical/emotional changes during pregnancy and birth Prenatal and postpartum exercise Preparation for labor and birth Parenting skills Breast-feeding Newborn care and feeding",0.95
I'm an expecting mother and haven't been feeling good recently,"Provides medical care during pregnancy. Some basic services provided include physical examinations, distribution of prenatal vitamins, and laboratory work. Other services may also be available; however, other services are provided on an as needed basis to be determined by the nurse practitioners and physician staff who volunteer at the clinic. The clinic offers a comprehensive prenatal program that includes:Prenatal NutritionPhysical/emotional changes during pregnancy and birth Prenatal and postpartum exercise Preparation for labor and birth Parenting skills Breast-feeding Newborn care and feeding",0.95
I'm having trouble breast-feeding my new baby,"Provides medical care during pregnancy. Some basic services provided include physical examinations, distribution of prenatal vitamins, and laboratory work. Other services may also be available; however, other services are provided on an as needed basis to be determined by the nurse practitioners and physician staff who volunteer at the clinic. The clinic offers a comprehensive prenatal program that includes:Prenatal NutritionPhysical/emotional changes during pregnancy and birth Prenatal and postpartum exercise Preparation for labor and birth Parenting skills Breast-feeding Newborn care and feeding",0.9
"I think I might have covid, where should I go?","Provides medical care during pregnancy. Some basic services provided include physical examinations, distribution of prenatal vitamins, and laboratory work. Other services may also be available; however, other services are provided on an as needed basis to be determined by the nurse practitioners and physician staff who volunteer at the clinic. The clinic offers a comprehensive prenatal program that includes:Prenatal NutritionPhysical/emotional changes during pregnancy and birth Prenatal and postpartum exercise Preparation for labor and birth Parenting skills Breast-feeding Newborn care and feeding",0.4
Does Bryan have a daycare,"Provides medical care during pregnancy. Some basic services provided include physical examinations, distribution of prenatal vitamins, and laboratory work. Other services may also be available; however, other services are provided on an as needed basis to be determined by the nurse practitioners and physician staff who volunteer at the clinic. The clinic offers a comprehensive prenatal program that includes:Prenatal NutritionPhysical/emotional changes during pregnancy and birth Prenatal and postpartum exercise Preparation for labor and birth Parenting skills Breast-feeding Newborn care and feeding",0.6
I think my child needs counseling,"Provides medical care during pregnancy. Some basic services provided include physical examinations, distribution of prenatal vitamins, and laboratory work. Other services may also be available; however, other services are provided on an as needed basis to be determined by the nurse practitioners and physician staff who volunteer at the clinic. The clinic offers a comprehensive prenatal program that includes:Prenatal NutritionPhysical/emotional changes during pregnancy and birth Prenatal and postpartum exercise Preparation for labor and birth Parenting skills Breast-feeding Newborn care and feeding",0.4
"I'm facing food insecurity, what should I do?","Provides medical care during pregnancy. Some basic services provided include physical examinations, distribution of prenatal vitamins, and laboratory work. Other services may also be available; however, other services are provided on an as needed basis to be determined by the nurse practitioners and physician staff who volunteer at the clinic. The clinic offers a comprehensive prenatal program that includes:Prenatal NutritionPhysical/emotional changes during pregnancy and birth Prenatal and postpartum exercise Preparation for labor and birth Parenting skills Breast-feeding Newborn care and feeding",0.2
I am feeling crushed by my student loans,"Gain financial stability by developing healthy financial habits. We provide one-on-one financial coaching and help families and individuals learn more about how to manage money and provide you with lots of financial resources to guide you through making your money work for you! Specifically, we work in the areas of creating an intentional spending plan that includes monthly savings, reducing debt, improving credit and promoting banking relationships. We want you to have all of the tools you need to get the most out of your finances and start saving for the future. Learn how to stay on a budget,manage a checking account, improve your credit ranking, pay off debt, and save for the future.",0.9
I have no idea how to budget and need help,"Gain financial stability by developing healthy financial habits. We provide one-on-one financial coaching and help families and individuals learn more about how to manage money and provide you with lots of financial resources to guide you through making your money work for you! Specifically, we work in the areas of creating an intentional spending plan that includes monthly savings, reducing debt, improving credit and promoting banking relationships. We want you to have all of the tools you need to get the most out of your finances and start saving for the future. Learn how to stay on a budget,manage a checking account, improve your credit ranking, pay off debt, and save for the future.",0.9
I'm running out of money,"Gain financial stability by developing healthy financial habits. We provide one-on-one financial coaching and help families and individuals learn more about how to manage money and provide you with lots of financial resources to guide you through making your money work for you! Specifically, we work in the areas of creating an intentional spending plan that includes monthly savings, reducing debt, improving credit and promoting banking relationships. We want you to have all of the tools you need to get the most out of your finances and start saving for the future. Learn how to stay on a budget,manage a checking account, improve your credit ranking, pay off debt, and save for the future.",0.85
I can't afford to buy food,"Gain financial stability by developing healthy financial habits. We provide one-on-one financial coaching and help families and individuals learn more about how to manage money and provide you with lots of financial resources to guide you through making your money work for you! Specifically, we work in the areas of creating an intentional spending plan that includes monthly savings, reducing debt, improving credit and promoting banking relationships. We want you to have all of the tools you need to get the most out of your finances and start saving for the future. Learn how to stay on a budget,manage a checking account, improve your credit ranking, pay off debt, and save for the future.",0.6
I'm taking care of myself for the first time and am lost on what to do,"Gain financial stability by developing healthy financial habits. We provide one-on-one financial coaching and help families and individuals learn more about how to manage money and provide you with lots of financial resources to guide you through making your money work for you! Specifically, we work in the areas of creating an intentional spending plan that includes monthly savings, reducing debt, improving credit and promoting banking relationships. We want you to have all of the tools you need to get the most out of your finances and start saving for the future. Learn how to stay on a budget,manage a checking account, improve your credit ranking, pay off debt, and save for the future.",0.7
I need advice for my mental health,"Gain financial stability by developing healthy financial habits. We provide one-on-one financial coaching and help families and individuals learn more about how to manage money and provide you with lots of financial resources to guide you through making your money work for you! Specifically, we work in the areas of creating an intentional spending plan that includes monthly savings, reducing debt, improving credit and promoting banking relationships. We want you to have all of the tools you need to get the most out of your finances and start saving for the future. Learn how to stay on a budget,manage a checking account, improve your credit ranking, pay off debt, and save for the future.",0.3
One of my classmates cheated on our exam,"Gain financial stability by developing healthy financial habits. We provide one-on-one financial coaching and help families and individuals learn more about how to manage money and provide you with lots of financial resources to guide you through making your money work for you! Specifically, we work in the areas of creating an intentional spending plan that includes monthly savings, reducing debt, improving credit and promoting banking relationships. We want you to have all of the tools you need to get the most out of your finances and start saving for the future. Learn how to stay on a budget,manage a checking account, improve your credit ranking, pay off debt, and save for the future.",0.1
I'm an expecting mother and need advice for the pregnancy,"From birth control to prenatal nutrition, our professional staff provide a range of services. We strive to offer our patients convenient, high-quality care. Office Procedures include Obstetric and gynecologic ultrasound - 4D imagining available, Hysteroscopy, Essure permanent sterilization, Endometrial ablation, Colposcopy, LEEP cervical conization, IUD placement and removal, Nexplanon placement and removal, Urodynamic Testing, Pessary Fitting and Placement. Surgeries include Vaginal surgery, Hysteroscopy - diagnostic and operative, Endometrial ablation, Gynecologic laparoscopy, Robotic assisted gynecologic laparoscopy.",0.9
Women specific care near me,"From birth control to prenatal nutrition, our professional staff provide a range of services. We strive to offer our patients convenient, high-quality care. Office Procedures include Obstetric and gynecologic ultrasound - 4D imagining available, Hysteroscopy, Essure permanent sterilization, Endometrial ablation, Colposcopy, LEEP cervical conization, IUD placement and removal, Nexplanon placement and removal, Urodynamic Testing, Pessary Fitting and Placement. Surgeries include Vaginal surgery, Hysteroscopy - diagnostic and operative, Endometrial ablation, Gynecologic laparoscopy, Robotic assisted gynecologic laparoscopy.",0.9
I need birth control,"From birth control to prenatal nutrition, our professional staff provide a range of services. We strive to offer our patients convenient, high-quality care. Office Procedures include Obstetric and gynecologic ultrasound - 4D imagining available, Hysteroscopy, Essure permanent sterilization, Endometrial ablation, Colposcopy, LEEP cervical conization, IUD placement and removal, Nexplanon placement and removal, Urodynamic Testing, Pessary Fitting and Placement. Surgeries include Vaginal surgery, Hysteroscopy - diagnostic and operative, Endometrial ablation, Gynecologic laparoscopy, Robotic assisted gynecologic laparoscopy.",0.95
I need a doctor in Bryan,"From birth control to prenatal nutrition, our professional staff provide a range of services. We strive to offer our patients convenient, high-quality care. Office Procedures include Obstetric and gynecologic ultrasound - 4D imagining available, Hysteroscopy, Essure permanent sterilization, Endometrial ablation, Colposcopy, LEEP cervical conization, IUD placement and removal, Nexplanon placement and removal, Urodynamic Testing, Pessary Fitting and Placement. Surgeries include Vaginal surgery, Hysteroscopy - diagnostic and operative, Endometrial ablation, Gynecologic laparoscopy, Robotic assisted gynecologic laparoscopy.",0.6
I want to get screened for testicular cancer,"From birth control to prenatal nutrition, our professional staff provide a range of services. We strive to offer our patients convenient, high-quality care. Office Procedures include Obstetric and gynecologic ultrasound - 4D imagining available, Hysteroscopy, Essure permanent sterilization, Endometrial ablation, Colposcopy, LEEP cervical conization, IUD placement and removal, Nexplanon placement and removal, Urodynamic Testing, Pessary Fitting and Placement. Surgeries include Vaginal surgery, Hysteroscopy - diagnostic and operative, Endometrial ablation, Gynecologic laparoscopy, Robotic assisted gynecologic laparoscopy.",0.3
Women's counseling near me,"From birth control to prenatal nutrition, our professional staff provide a range of services. We strive to offer our patients convenient, high-quality care. Office Procedures include Obstetric and gynecologic ultrasound - 4D imagining available, Hysteroscopy, Essure permanent sterilization, Endometrial ablation, Colposcopy, LEEP cervical conization, IUD placement and removal, Nexplanon placement and removal, Urodynamic Testing, Pessary Fitting and Placement. Surgeries include Vaginal surgery, Hysteroscopy - diagnostic and operative, Endometrial ablation, Gynecologic laparoscopy, Robotic assisted gynecologic laparoscopy.",0.4
Care home for elderly Bryan,"From birth control to prenatal nutrition, our professional staff provide a range of services. We strive to offer our patients convenient, high-quality care. Office Procedures include Obstetric and gynecologic ultrasound - 4D imagining available, Hysteroscopy, Essure permanent sterilization, Endometrial ablation, Colposcopy, LEEP cervical conization, IUD placement and removal, Nexplanon placement and removal, Urodynamic Testing, Pessary Fitting and Placement. Surgeries include Vaginal surgery, Hysteroscopy - diagnostic and operative, Endometrial ablation, Gynecologic laparoscopy, Robotic assisted gynecologic laparoscopy.",0.1
Are there any counseling services specifically for women,"Supports the health and wellness of women through most phases of their life, from pre-teen to post-menopausal years. We’re a practice designed by women for women that focuses on providing high quality gynecological care in a comfortable environment. Our comprehensive women's care services range from routine wellness exams to addressing difficult hormone disorders, sexual and reproductive health, and many other health issues women face today. Plus, women’s mental health and wellness provided at this location support your complete health.",0.95
I think I'm experiencing menopause and want advice,"Supports the health and wellness of women through most phases of their life, from pre-teen to post-menopausal years. We’re a practice designed by women for women that focuses on providing high quality gynecological care in a comfortable environment. Our comprehensive women's care services range from routine wellness exams to addressing difficult hormone disorders, sexual and reproductive health, and many other health issues women face today. Plus, women’s mental health and wellness provided at this location support your complete health.",0.9
Gynecologist in Bryan,"Supports the health and wellness of women through most phases of their life, from pre-teen to post-menopausal years. We’re a practice designed by women for women that focuses on providing high quality gynecological care in a comfortable environment. Our comprehensive women's care services range from routine wellness exams to addressing difficult hormone disorders, sexual and reproductive health, and many other health issues women face today. Plus, women’s mental health and wellness provided at this location support your complete health.",0.9
My teen sister has been expericing women related-health issues and doesn't know where to go,"Supports the health and wellness of women through most phases of their life, from pre-teen to post-menopausal years. We’re a practice designed by women for women that focuses on providing high quality gynecological care in a comfortable environment. Our comprehensive women's care services range from routine wellness exams to addressing difficult hormone disorders, sexual and reproductive health, and many other health issues women face today. Plus, women’s mental health and wellness provided at this location support your complete health.",0.85
I'm a man and am having issues with my reproductive health,"Supports the health and wellness of women through most phases of their life, from pre-teen to post-menopausal years. We’re a practice designed by women for women that focuses on providing high quality gynecological care in a comfortable environment. Our comprehensive women's care services range from routine wellness exams to addressing difficult hormone disorders, sexual and reproductive health, and many other health issues women face today. Plus, women’s mental health and wellness provided at this location support your complete health.",0.4
Where should my elderly grandma go for her dental exam?,"Supports the health and wellness of women through most phases of their life, from pre-teen to post-menopausal years. We’re a practice designed by women for women that focuses on providing high quality gynecological care in a comfortable environment. Our comprehensive women's care services range from routine wellness exams to addressing difficult hormone disorders, sexual and reproductive health, and many other health issues women face today. Plus, women’s mental health and wellness provided at this location support your complete health.",0.4
I think I want to get an MRI for my injured shoulder,"Supports the health and wellness of women through most phases of their life, from pre-teen to post-menopausal years. We’re a practice designed by women for women that focuses on providing high quality gynecological care in a comfortable environment. Our comprehensive women's care services range from routine wellness exams to addressing difficult hormone disorders, sexual and reproductive health, and many other health issues women face today. Plus, women’s mental health and wellness provided at this location support your complete health.",0.2
